City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,puerto san jose,13.9256,-90.8244,27.69,60,1,3.27,GT,1709076982
176,geraldton,-28.7667,114.6,17.23,77,16,3.6,AU,1709076983
177,gobabis,-22.45,18.9667,25.63,39,77,2.68,NA,1709076984
178,linqiong,30.4159,103.4609,6.9,83,100,1.91,CN,1709076986
179,dul'durga,50.6761,113.5931,-21.39,89,100,2.04,RU,1709076987
180,shache,38.4167,77.2406,0.57,53,74,2.02,CN,1709076988
181,al kharijah,25.4514,30.5464,14.44,36,0,3.35,EG,1709076989
182,ploudalmezeau,48.5333,-4.65,10.71,100,100,2.06,FR,1709076991
183,yaren,-0.5472,166.916,28.85,78,100,6.63,NR,1709076992
184,qaqortoq,60.7167,-46.0333,-3.85,97,100,2.55,GL,1709076993
185,kirakira,-10.4544,161.9205,28.47,80,100,2.03,SB,1709076994
186,carnarvon,-24.8667,113.6333,25.15,72,0,8.06,AU,1709076995
187,lompoc,34.6391,-120.4579,19.32,69,0,5.66,US,1709076996
188,correntina,-13.3433,-44.6367,24.54,72,95,1.57,BR,1709076998
189,juan griego,11.0817,-63.9655,21.07,100,26,8.23,VE,1709077000
190,happy valley-goose bay,53.3168,-60.3315,-7.83,57,20,2.06,CA,1709077001
191,san pedro pochutla,15.7333,-96.4667,29.84,58,0,3.44,MX,1709077002
192,phumi veal sre,10.9808,104.7783,24.3,80,44,1.16,KH,1709077004
193,kismayo,-0.3582,42.5454,27.65,81,14,5.67,SO,1709077005
194,leiyang,26.4024,112.8591,4.33,93,100,0.79,CN,1709077007
195,tintafor,8.6267,-13.215,29.09,79,6,4.12,SL,1709077008
196,machico,32.7,-16.7667,17.35,71,40,10.29,PT,1709077009
197,kuqa,41.7278,82.9364,-1.28,60,91,2.94,CN,1709077011
198,haiku-pauwela,20.9219,-156.3051,24.59,65,40,6.69,US,1709077012
199,polovinnoye,54.7914,65.9864,-10.07,81,59,4.01,RU,1709077014
200,fortaleza,-3.7227,-38.5247,26.23,94,75,1.03,BR,1709077015
201,woolgoolga,-30.1106,153.2007,28.91,63,47,2.85,AU,1709077017
202,wailua homesteads,22.0669,-159.378,26.24,69,75,8.23,US,1709077019
203,el nido,11.1858,119.3956,26.13,75,15,9.69,PH,1709077021
204,codrington,-38.2667,141.9667,30.38,23,100,7.87,AU,1709077023
205,whitehorse,60.7161,-135.0538,-13.28,68,100,6.71,CA,1709076429
206,polur,12.5,79.1333,21.02,94,22,1.44,IN,1709077026
207,samana,19.2056,-69.3369,23.98,89,7,3.34,DO,1709077028
208,alamos,27.0167,-108.9333,25.25,24,100,1.66,MX,1709077029
209,pangody,65.85,74.4859,-8.24,100,100,2.15,RU,1709077030
210,lospalos,-8.5186,127.0025,25.68,81,92,4.19,TL,1709077032
211,mana,5.6592,-53.7767,25.58,70,1,4.27,GF,1709077033
212,utrik,11.2278,169.8474,27.03,76,93,7.32,MH,1709077035
213,bria,6.5423,21.9863,26.31,30,72,1.17,CF,1709077036
214,papayal,-4.0761,-80.7361,25.34,77,99,2.1,PE,1709077038
215,fale old settlement,-9.3852,-171.2468,28.33,79,81,7.84,TK,1709077039
216,yanchep,-31.55,115.6833,20.53,46,94,4.42,AU,1709077041
217,acapulco de juarez,16.8634,-99.8901,29.9,62,0,4.63,MX,1709076849
218,dawson creek,55.7666,-120.2362,-18.2,50,20,4.12,CA,1709077044
219,mournies,35.4764,24.0092,15.46,94,75,2.57,GR,1709077045
220,aasiaat,68.7098,-52.8699,-22.67,100,92,3.04,GL,1709077047
221,kribi,2.95,9.9167,27.38,89,5,3.86,CM,1709077048
222,tapes,-30.6733,-51.3958,23.38,89,91,4.2,BR,1709077050
223,letlhakeng,-24.0944,25.0298,19.36,75,0,4.92,BW,1709077051
224,atafu village,-8.5421,-172.5159,29.42,75,31,7.36,TK,1709077053
225,tangalle,6.024,80.7911,24.28,85,100,4.24,LK,1709077054
226,ocos,14.5094,-92.1933,31.1,63,0,4.07,GT,1709077056
227,kailua-kona,19.6406,-155.9956,26.27,75,0,3.09,US,1709077057
228,lihue,21.9789,-159.3672,26.58,68,75,8.23,US,1709077059
229,tughyl,47.7252,84.2063,-16.76,97,99,2.23,KZ,1709077060
230,tazovsky,67.4667,78.7,-6.31,96,100,3.21,RU,1709077061
231,greymouth,-42.4667,171.2,20.42,60,1,3.74,NZ,1709077063
232,faya-largeau,17.9257,19.1043,23.26,13,49,5.98,TD,1709077064
233,nuku'alofa,-21.1333,-175.2,28.19,100,75,1.54,TO,1709077066
234,conde,-7.2597,-34.9075,24.7,94,0,2.06,BR,1709077067
235,hollidaysburg,40.4273,-78.3889,12.04,74,100,0.0,US,1709077068
236,montagu,-40.7667,144.9667,18.81,85,100,9.3,AU,1709077070
237,sinabang,2.4803,96.3801,26.99,81,97,0.76,ID,1709077072
238,filadelfia,39.9523,-75.1638,13.33,87,100,4.12,US,1709076979
239,chonchi,-42.6128,-73.8092,17.56,99,73,1.38,CL,1709077075
240,tippi,7.2,35.45,24.27,48,98,0.87,ET,1709077076
241,highland,34.1283,-117.2086,19.72,71,100,1.54,US,1709076897
242,pakuranga,-36.8833,174.9167,23.51,60,20,1.54,NZ,1709077079
243,tasqala,51.1167,50.3167,-17.6,95,75,1.22,KZ,1709077080
244,taoudenni,22.6783,-3.9836,24.0,13,0,4.64,ML,1709077082
245,petropavlovsk-kamchatsky,53.0452,158.6483,-12.9,72,20,3.13,RU,1709077084
246,undurkhaan,47.3194,110.6556,-25.48,97,95,1.48,MN,1709077085
247,rundu,-17.9333,19.7667,19.65,83,97,1.88,NA,1709077086
248,sandnessjoen,66.0217,12.6316,2.29,79,100,10.44,NO,1709077089
249,khandud,36.9513,72.318,-10.87,91,100,0.76,AF,1709077091
250,suva,-18.1416,178.4415,31.71,66,40,2.06,FJ,1709076858
251,nuuk,64.1835,-51.7216,-6.66,68,75,4.12,GL,1709077094
252,sakakah,29.9697,40.2064,9.76,44,42,3.39,SA,1709077095
253,archangelos,36.2149,28.1149,14.06,77,57,2.94,GR,1709077097
254,antanifotsy,-19.65,47.3167,16.68,98,100,1.07,MG,1709077102
255,nova sintra,14.8667,-24.7167,20.24,76,72,2.28,CV,1709077105
256,shengli,37.4564,118.4856,2.44,56,100,1.51,CN,1709077107
257,coquimbo,-29.9533,-71.3436,19.85,77,20,4.63,CL,1709077108
258,san antonio de pale,-1.4014,5.6325,28.07,78,52,1.53,GQ,1709077109
259,ugoofaaru,5.6667,73.0,28.01,79,100,5.91,MV,1709077110
260,bondo,3.8146,23.6866,22.88,70,55,1.28,CD,1709077112
261,sibiti,-3.6819,13.3499,21.58,98,16,0.76,CG,1709077113
262,enewetak,11.3474,162.3373,26.92,81,91,6.26,MH,1709077115
263,atchison,39.563,-95.1216,8.33,51,1,11.67,US,1709077117
264,ulladulla,-35.35,150.4667,26.03,63,2,4.24,AU,1709077118
265,mersin,36.862,34.6509,11.01,61,2,1.57,TR,1709077120
266,san felipe,10.3399,-68.7425,21.51,92,53,2.13,VE,1709077121
267,hailey,43.5196,-114.3153,-3.44,47,85,5.81,US,1709077122
268,les cayes,18.2,-73.75,25.08,76,57,1.3,HT,1709077124
269,mount pearl,47.5166,-52.7813,0.04,87,75,12.35,CA,1709077125
270,yarmouth,41.7057,-70.2286,10.63,85,0,4.63,US,1709077126
271,nguigmi,14.2495,13.1092,26.1,24,9,3.54,NE,1709077127
272,cururupu,-1.8283,-44.8683,23.34,99,100,1.68,BR,1709077129
273,hawaiian paradise park,19.5933,-154.9731,24.73,77,75,5.66,US,1709077131
274,gniezno,52.5348,17.5826,7.44,93,100,2.24,PL,1709077132
275,prado,-17.3411,-39.2208,25.25,90,39,1.79,BR,1709077134
276,bandipura,34.4167,74.65,1.03,68,90,2.98,IN,1709077135
277,churapcha,62.0025,132.4325,-30.34,100,100,0.54,RU,1709077137
278,matoury,4.8483,-52.3317,25.98,78,0,1.03,GF,1709077138
279,roxborough park,39.4739,-105.0853,0.42,75,90,5.52,US,1709077140
280,usinsk,65.9939,57.5281,0.04,97,100,8.49,RU,1709077141
281,praia da vitoria,38.7333,-27.0667,15.98,77,75,2.76,PT,1709077142
282,martuk,50.7475,56.5056,-15.46,87,37,0.49,KZ,1709077144
283,eureka,40.8021,-124.1637,14.26,59,78,4.47,US,1709077112
284,brookings,44.3114,-96.7984,-12.53,76,75,10.8,US,1709077147
285,hadibu,12.65,54.0333,24.68,74,78,2.6,YE,1709077148
286,shinas,24.7433,56.4658,21.14,68,0,0.47,OM,1709077149
287,mount gambier,-37.8333,140.7667,31.2,19,100,7.21,AU,1709077151
288,soran,49.78,72.8506,-8.73,96,100,2.24,KZ,1709077152
289,escanaba,45.7453,-87.0646,8.62,100,100,2.06,US,1709076983
290,davutlar,37.733,27.2944,14.68,81,41,1.9,TR,1709077156
291,poxoreo,-15.8372,-54.3892,25.09,64,98,1.41,BR,1709077157
292,boa vista,2.8197,-60.6733,32.99,33,40,3.6,BR,1709077158
293,cidreira,-30.1811,-50.2056,23.45,90,97,5.22,BR,1709077160
294,burutu,5.3509,5.5076,27.5,87,48,2.88,NG,1709077161
295,baicheng,45.6167,122.8167,-10.24,73,16,3.61,CN,1709077163
296,howard springs,-12.497,131.047,29.93,92,69,3.21,AU,1709077164
297,kudahuvadhoo,2.6708,72.8944,27.37,80,100,4.57,MV,1709077165
298,belmonte,-15.8631,-38.8828,25.75,88,60,2.26,BR,1709077167
299,kamaishi,39.2667,141.8833,2.69,70,14,1.66,JP,1709077168
300,taro,-8.3862,115.28,22.0,88,72,0.74,ID,1709077170
301,mossel bay,-34.1831,22.146,14.96,78,0,8.29,ZA,1709077171
302,i-n-salah,27.1935,2.4607,15.48,26,0,6.22,DZ,1709077173
303,brisas de zicatela,15.8369,-97.0419,29.29,70,75,4.63,MX,1709077174
304,namtsy,62.7161,129.6658,-33.69,100,100,0.58,RU,1709077176
305,shalya,57.2471,58.7298,-9.01,72,65,5.19,RU,1709077177
306,buka,40.8108,69.1986,2.64,87,100,1.69,UZ,1709077178
307,korsakov,46.6328,142.7813,-13.09,74,41,3.92,RU,1709077180
308,santa luzia,-19.7697,-43.8514,27.5,67,0,2.57,BR,1709077182
309,lazaro cardenas,17.9583,-102.2,26.0,71,12,4.19,MX,1709077184
310,uliastay,47.7417,96.8444,-29.02,88,40,3.06,MN,1709077185
311,kingscliff,-28.2667,153.5667,29.85,69,42,3.6,AU,1709077186
312,princeville,45.7668,-61.2985,2.82,90,75,4.12,CA,1709077188
313,atamanovka,51.93,113.63,-20.39,97,100,1.12,RU,1709077189
314,guerrero negro,27.9769,-114.0611,19.05,58,100,1.82,MX,1709077191
315,mount isa,-20.7333,139.5,27.87,78,75,4.12,AU,1709077192
316,dapa,9.7594,126.0531,25.95,81,77,8.5,PH,1709077195
317,verkhnevilyuysk,63.4453,120.3167,-25.03,97,20,2.64,RU,1709077196
318,novohrad-volynskyi,50.5941,27.6165,3.81,71,100,3.77,UA,1709077198
319,yuzhno-kurilsk,44.0306,145.8556,-3.68,85,100,15.04,RU,1709077200
320,saipan,15.1355,145.701,28.39,61,20,6.17,MP,1709077201
321,casper,42.8666,-106.3131,-6.27,68,20,2.57,US,1709076937
322,abeche,13.8292,20.8324,26.91,12,65,5.31,TD,1709077205
323,castillos,-34.1667,-53.8333,21.28,95,23,2.03,UY,1709077206
324,vernon,50.2581,-119.2691,-1.5,35,72,0.51,CA,1709077133
325,maneromango,-7.1988,38.7848,22.0,84,100,1.43,TZ,1709077209
326,ma'rib,15.4591,45.3253,21.61,44,18,2.29,YE,1709077210
327,kodinsk,58.6881,99.1844,-22.55,100,100,1.42,RU,1709077221
328,papao,-17.75,-149.55,29.81,78,20,4.22,PF,1709077222
329,collinwood,35.1743,-87.7373,23.15,69,100,7.01,US,1709077224
330,la'ie,21.6477,-157.9253,27.98,73,5,6.26,US,1709077225
331,saint-philippe,-21.3585,55.7679,22.77,73,38,4.02,RE,1709077226
332,mejit,10.2753,170.8646,27.21,79,92,7.02,MH,1709077228
333,creel,27.75,-107.6333,12.39,24,69,8.64,MX,1709077229
334,oltinko'l,40.8011,72.1634,3.18,89,100,0.37,UZ,1709077231
335,prnjavor,44.8703,17.6628,7.59,78,70,0.95,BA,1709077234
336,rio grande,-32.035,-52.0986,23.06,89,100,4.81,BR,1709077235
337,jieshi,22.8134,115.8257,16.15,81,100,8.23,CN,1709077237
338,san carlos,9.6612,-68.5827,28.83,51,69,3.03,VE,1709077238
339,alofi,-19.0595,-169.9187,29.94,79,40,3.09,NU,1709077240
340,high rock,26.6208,-78.2833,22.01,61,3,4.92,BS,1709077241
341,caruthersville,36.1931,-89.6556,24.12,68,100,3.58,US,1709077243
342,halfway,39.6207,-77.7589,13.84,80,20,6.17,US,1709077244
343,conduaga,8.862,117.4893,27.05,66,77,2.03,PH,1709077256
344,el calafate,-50.3408,-72.2768,12.69,77,71,4.51,AR,1709077040
345,itoman,26.1247,127.6694,20.61,68,75,5.14,JP,1709077259
346,axim,4.8699,-2.2405,26.66,91,30,1.95,GH,1709077260
347,inarajan village,13.2736,144.7484,28.55,76,54,7.38,GU,1709077262
348,vila do maio,15.1333,-23.2167,23.44,75,84,4.72,CV,1709077265
349,aden,12.7794,45.0367,25.31,75,45,6.2,YE,1709077266
350,puerto carreno,6.189,-67.4859,34.99,41,20,3.09,CO,1709077268
351,argostolion,38.1811,20.489,15.41,72,100,4.2,GR,1709077272
352,goundam,16.4145,-3.6708,26.93,9,0,3.82,ML,1709077274
353,sola,-13.8833,167.55,28.57,72,87,3.33,VU,1709077275
354,wick,58.4333,-3.0833,5.03,75,8,4.63,GB,1709077049
355,swakopmund,-22.6833,14.5333,17.47,89,9,1.34,NA,1709077278
356,dzilam gonzalez,21.2833,-88.9333,24.68,65,1,2.54,MX,1709077280
357,al ghayzah,16.2079,52.176,24.05,78,59,2.92,YE,1709077281
358,mutuipe,-13.2286,-39.5047,22.39,98,55,1.01,BR,1709077283
359,carahue,-38.7,-73.1667,16.51,82,92,1.47,CL,1709077285
360,apodi,-5.6642,-37.7989,24.44,93,100,2.04,BR,1709077238
361,baran,25.1,76.5167,16.47,35,0,2.12,IN,1709077287
362,lethem,3.3803,-59.7968,31.09,42,70,5.35,GY,1709077289
